trade_date,series,open_price,high_price,low_price,prevclose_price,last_price,close_price,vwap,high_52w,low_52w,volume,turnover,number_trades,daily_return,price_change,intraday_volatility,month,year
2023-10-27,EQ,558.80,568.70,546,549.05,563,563.8,560.34,630,409.05,2562523,1435889238.50,47804,2.69,14.75,22.7,Oct,2023
2023-10-26,EQ,562.00,562.00,538.65,569.1,550.2,549.05,548.92,630,409.05,1923369,1055773380.00,62322,-3.52,-20.05,23.35,Oct,2023
2023-10-25,EQ,580.05,580.95,549.1,577.85,572.9,569.1,564.17,630,409.05,2723739,1536653913.30,66187,-1.51,-8.75,31.85,Oct,2023
2023-10-23,EQ,585.00,585.20,573.65,584.05,576,577.85,578.9,630,409.05,671461,388705898.45,24034,-1.06,-6.2,11.55,Oct,2023
2023-10-20,EQ,579.90,586.40,570.65,579.9,585.2,584.05,577.68,630,389.1,862440,498217472.00,34165,0.72,4.15,15.75,Oct,2023
2023-10-19,EQ,576.90,597.95,574.6,577.9,581.5,579.9,582.12,630,389.1,2949605,1717019584.90,35341,0.35,2,23.35,Oct,2023
2023-10-18,EQ,579.90,583.60,575.55,573.9,578.5,577.9,578.89,630,389.1,862247,499148673.40,27090,0.7,4,8.05,Oct,2023
2023-10-17,EQ,582.00,584.00,571.25,576.45,574.8,573.9,576.9,630,389.1,822914,474737907.90,25501,-0.44,-2.55,12.75,Oct,2023
2023-10-16,EQ,582.90,589.25,573.6,582.8,577.5,576.45,581.51,630,389.1,1225625,712709007.55,35998,-1.09,-6.35,15.65,Oct,2023
2023-10-13,EQ,581.80,595.00,578.6,580.9,580.05,582.8,583.72,630,389.1,1155915,674736268.85,28148,0.33,1.9,16.4,Oct,2023
2023-10-12,EQ,578.90,597.70,577.45,573.95,582.05,580.9,587.04,630,389.1,1897603,1113967157.75,57909,1.21,6.95,20.25,Oct,2023
2023-10-11,EQ,563.70,586.85,562.6,555,575,573.95,577.75,630,389.1,2895695,1672991783.05,99519,3.41,18.95,24.25,Oct,2023
2023-10-10,EQ,570.35,571.85,552,568.6,562,555,557.14,630,389.1,2636074,1468653824.80,42408,-2.39,-13.6,19.85,Oct,2023
2023-10-09,EQ,554.90,575.10,553.25,560.7,567.75,568.6,568.73,630,389.1,1046123,594960609.45,59420,1.41,7.9,21.85,Oct,2023
2023-10-06,EQ,564.00,567.80,558,562.5,561.85,560.7,560.1,630,389.1,1590442,890807436.85,21640,-0.32,-1.8,9.8,Oct,2023
2023-10-05,EQ,575.00,575.90,560,570.2,563.05,562.5,567.27,630,389.1,753385,427371171.75,29567,-1.35,-7.7,15.9,Oct,2023
2023-10-04,EQ,590.00,590.00,563.35,592.2,570,570.2,570.07,630,389.1,1642684,936438189.35,50553,-3.71,-22,26.65,Oct,2023
2023-10-03,EQ,568.95,601.00,562.95,567.4,592.8,592.2,593.12,630,389.1,3015887,1788784298.95,75191,4.37,24.8,38.05,Oct,2023
2023-09-29,EQ,569.95,574.70,558.7,569.6,567.25,567.4,566.19,630,388.1,1680436,951443032.65,41954,-0.39,-2.2,16,Sep,2023
2023-09-28,EQ,578.75,581.00,563.2,573.6,569.5,569.6,569.4,630,388.1,1088420,619748299.75,31008,-0.7,-4,17.8,Sep,2023
2023-09-27,EQ,570.65,578.80,563.65,566.05,574.2,573.6,572.93,630,388.1,927353,531307849.25,32952,1.33,7.55,15.15,Sep,2023
2023-09-26,EQ,558.00,569.75,550.95,556.15,566.25,566.05,563.93,630,388.1,964757,544057676.05,28615,1.78,9.9,18.8,Sep,2023
2023-09-25,EQ,543.45,561.55,531.05,543.25,557,556.15,547.04,630,388.1,2248687,1230120849.90,48022,2.37,12.9,30.5,Sep,2023
2023-09-22,EQ,555.85,559.40,538.5,556.25,545,543.25,546.16,630,388.1,2153657,1176250624.55,59519,-2.34,-13,20.9,Sep,2023
2023-09-21,EQ,554.70,565.55,547.55,554.15,555.5,556.25,557.26,630,388.1,1552347,865062748.25,39174,0.38,2.1,18,Sep,2023
2023-09-20,EQ,570.00,572.00,551.25,574.4,556,554.15,559.64,630,388.1,2159490,1208546083.90,72001,-3.53,-20.25,20.75,Sep,2023
2023-09-18,EQ,572.45,582.40,565.6,572.45,576,574.4,575.53,630,388.1,1308820,753259624.00,24084,0.34,1.95,16.8,Sep,2023
2023-09-15,EQ,585.00,596.80,567.2,583.95,568,572.45,577.83,630,388.1,4633092,2677139034.90,51678,-1.97,-11.5,29.6,Sep,2023
2023-09-14,EQ,586.70,588.80,582.1,582.7,582.85,583.95,584.6,630,388.1,1195049,698624168.75,38143,0.21,1.25,6.7,Sep,2023
2023-09-13,EQ,611.00,611.50,577.35,618.45,580.6,582.7,589.99,630,388.1,3433999,2026030049.15,91145,-5.78,-35.75,34.15,Sep,2023
2023-09-12,EQ,628.00,628.00,605,622.15,620,618.45,616.75,630,388.1,3420837,2109802926.55,61801,-0.59,-3.7,23,Sep,2023
